Id,Name,Country,Latitude,Longitude,Government_Area,Market,Street,Suburb,Availability_30,Availability_365,Availability_60,Availability_90,Bathrooms,Bed_Type,Bedrooms,Beds,Number_Of_Reviews,Price,Property_Type,Review_Scores_Accuracy,Review_Scores_Checkin,Review_Scores_Cleanliness,Review_Scores_Communication,Review_Scores_Location,Review_Scores_Rating,Review_Scores_Value,Room_Type,Security_Deposit,Accommodates,Image
32338783,"Great Location In Wakiki, Walking Distance To Beach, Shopping, Dining!",United States,-157.83923,21.28555,Primary Urban Center,Oahu,"Honolulu, HI, United States",Honolulu,0,190,5,35,1,Real Bed,1,1,0,230,Apartment,0,0,0,0,0,0,0,Entire home/apt,0,2,https://a0.muscache.com/im/pictures/a521d828-df90-4211-890c-832c4af97c0e.jpg?aki_policy=large
32338886,Awesome One-bedroom overlooking the Duke Kahnamoku Lagoon  A+++++,United States,-157.8373,21.28361,Primary Urban Center,Oahu,"Honolulu, HI, United States",Waikiki,0,259,26,56,1,Real Bed,1,1,0,287,Condominium,0,0,0,0,0,0,0,Entire home/apt,0,2,https://a0.muscache.com/im/pictures/48cece27-5865-4bce-9562-d44e2456f773.jpg?aki_policy=large
32338915,"Ilikai 1 Bedroom Deluxe Harbor View, Minutes to the Beach!",United States,-157.83898,21.28441,Primary Urban Center,Oahu,"Honolulu, HI, United States",Waikiki,30,242,47,77,1,Real Bed,1,3,0,287,Condominium,0,0,0,0,0,0,0,Entire home/apt,0,4,https://a0.muscache.com/im/pictures/bb2464bd-4447-4c82-af64-1fc577c4ed18.jpg?aki_policy=large
32339084,Prime Waikiki Location - Spacious Studio With Full Kitchen!,United States,-157.83987,21.28632,Primary Urban Center,Oahu,"Honolulu, HI, United States",Oʻahu,0,124,3,7,1,Real Bed,1,1,0,172,Apartment,0,0,0,0,0,0,0,Entire home/apt,0,3,https://a0.muscache.com/im/pictures/54661a3d-f59a-4501-8776-d42edba8837e.jpg?aki_policy=large
32340227,Private room in Plateau Montréal,Canada,-73.57839,45.52113,Le Plateau-Mont-Royal,Montreal,"Montréal, Québec, Canada",Le Plateau,0,51,13,13,1,Real Bed,1,1,0,35,Apartment,0,0,0,0,0,0,0,Private room,0,2,https://a0.muscache.com/im/pictures/c6e16ec6-7120-410d-93bd-eba7b29bfdf3.jpg?aki_policy=large
32341628,❤❤❤❤❤ FemaleOnly Laundry Coffee Pool Safe FunRelax,United States,-157.66969,21.29825,East Honolulu,Oahu,"Honolulu, HI, United States",South Shore,30,365,60,90,1,Real Bed,1,4,1,43,House,2,2,2,2,2,20,2,Shared room,275,4,https://a0.muscache.com/im/pictures/a3a66298-b381-4923-b005-c20b1e4812fc.jpg?aki_policy=large
32343800,(M4),Hong Kong,114.17522,22.27637,Wan Chai,Hong Kong,"Hong Kong, Hong Kong Island, Hong Kong",Wan Chai,18,353,48,78,1,Real Bed,1,1,0,879,Apartment,0,0,0,0,0,0,0,Entire home/apt,5000,3,https://a0.muscache.com/im/pictures/c7ba2a19-0015-4ae2-a487-becbf002e8b0.jpg?aki_policy=large
32351823,Hortes: Acogedor studio/apartamento en Poble Sec,Spain,2.16757,41.37354,el Poble Sec,Barcelona,"Barcelona, Catalunya, Spain",El Poble-sec,0,61,0,0,1,Real Bed,1,1,0,32,Apartment,0,0,0,0,0,0,0,Entire home/apt,0,2,https://a0.muscache.com/im/pictures/beb693f9-b399-4355-8d29-d61e365a4b3c.jpg?aki_policy=large
32355490,Plateau Mont-Royal: Condo-Loft Well situated,Canada,-73.58574,45.528,Le Plateau-Mont-Royal,Montreal,"Montréal, Québec, Canada",Le Plateau-Mont-Royal,1,1,1,1,1,Real Bed,0,1,3,31,Condominium,10,9,8,10,9,87,10,Entire home/apt,0,2,https://a0.muscache.com/im/pictures/0e0ad034-8be2-474d-ba81-ef220d47b262.jpg?aki_policy=large
32361436,Private Master Room Close To Beach,Australia,151.26621,-33.88746,Waverley,Sydney,"Bondi Beach, NSW, Australia",Bondi Beach,28,179,58,88,1,Real Bed,1,1,1,80,Apartment,10,10,10,10,10,100,10,Private room,0,2,https://a0.muscache.com/im/pictures/3634c72d-d857-40d1-a7b7-b47fee34e845.jpg?aki_policy=large
32362812,THE MOST CENTRAL LOCATION OF THE City! PL1,Spain,2.165,41.38294,el Raval,Barcelona,"Barcelona, Catalunya, Spain",Ciutat Vella,5,13,13,13,2,Real Bed,1,2,2,65,Apartment,10,10,7,9,10,70,7,Private room,0,3,https://a0.muscache.com/im/pictures/c51042ee-4940-44a8-80ea-13b13b290d3c.jpg?aki_policy=large
32369195,默默|sushe素舍  万象城/罗湖口岸/三地铁口/粤港美食/商旅首选一室一厅公寓,China,114.11222,22.53885,North,Hong Kong,"Shenzhen, Guangdong, China",North,29,86,56,86,1,Real Bed,1,2,1,440,Apartment,2,2,2,4,4,20,2,Entire home/apt,0,2,https://a0.muscache.com/im/pictures/7a7e4dcd-c950-4068-b366-34bc1bc47a03.jpg?aki_policy=large
32375230,SWEET HOME NEXT TO SAGRADA FAMILIA,Spain,2.17597,41.40204,la Sagrada Família,Barcelona,"Barcelona, Catalunya, Spain",La Sagrada Família,6,341,36,66,1,Real Bed,3,3,0,50,Apartment,0,0,0,0,0,0,0,Entire home/apt,0,5,https://a0.muscache.com/im/pictures/9d43da43-b101-41a3-84df-190c20603f8c.jpg?aki_policy=large
3237666,cozy room in Taksim Istanbul,Turkey,28.9862,41.03397,Beyoglu,Istanbul,"Beyoğlu, İstanbul, Turkey",Beyoglu,17,86,42,58,1,Real Bed,1,1,248,148,Apartment,9,10,9,10,10,94,9,Private room,0,1,https://a0.muscache.com/im/pictures/41925206/dc4ddea3_original.jpg?aki_policy=large
3237716,Small comfy en suite single room,Brazil,-43.18351447,-22.93168608,Laranjeiras,Rio De Janeiro,"Rio, Rio de Janeiro, Brazil",Laranjeiras,30,365,60,90,1,Real Bed,1,1,0,149,Apartment,0,0,0,0,0,0,0,Private room,0,1,https://a0.muscache.com/im/pictures/41145523/1e98fd0c_original.jpg?aki_policy=large
3238474,ALQUILER  HABITACIONES mir,Spain,2.20658,41.4221,la Verneda i la Pau,Barcelona,"Barcelona, Catalonia, Spain",La Verneda i La Pau,30,365,60,90,1,Real Bed,1,1,10,16,Guesthouse,9,9,8,9,8,72,8,Private room,350,1,https://a0.muscache.com/im/pictures/371bc4f4-752b-410c-8c73-3d54cd639036.jpg?aki_policy=large
32385079,"Oceanview condo w/ a shared pool, hot tub, & tennis - nearby beach access",United States,-155.96931,19.5937,North Kona,The Big Island,"Kailua-Kona, HI, United States",Island of Hawaiʻi,0,237,21,51,2,Real Bed,2,3,1,167,Condominium,10,10,10,10,10,100,10,Entire home/apt,0,6,https://a0.muscache.com/im/pictures/41fd5897-a414-417d-af29-c896f9ccb541.jpg?aki_policy=large
32388469,Luxury living in a newly build House.,Australia,150.81572,-33.98607,Campbelltown,Sydney,"Denham Court, NSW, Australia",Campbelltown,30,85,54,84,2,Real Bed,2,2,2,100,Bungalow,10,10,10,10,10,100,10,Private room,0,4,https://a0.muscache.com/im/pictures/19ff075b-03dc-4ee7-937a-9b0d29d1f3c0.jpg?aki_policy=large
32401490,Big apartment by Barcelona's main train station,Spain,2.1438,41.37945,Hostafrancs,Barcelona,"Barcelona, Catalunya, Spain",Sants-Montjuïc,23,158,43,68,3,Real Bed,4,4,1,120,Apartment,10,10,10,10,10,100,10,Entire home/apt,0,7,https://a0.muscache.com/im/pictures/3b40f607-98cc-470d-a01d-afcd3cba71bb.jpg?aki_policy=large
32418682,红磡五星级酒店式公寓海景房豪华装修海韵轩海湾轩 理工大嘉里酒店边维港夜景 尖沙咀海港城庙街旺角西九龙,Hong Kong,114.18397,22.30222,Yau Tsim Mong,Hong Kong,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,12,324,22,49,1,Real Bed,2,3,4,1751,Serviced apartment,10,10,10,10,10,95,9,Entire home/apt,1752,4,https://a0.muscache.com/im/pictures/6f2a4128-934f-4367-9d12-f0d59aea5dcc.jpg?aki_policy=large
32432419,Trump avm ve çağlayana yürüme mesafesinde..,Turkey,28.98768,41.07305,Kagithane,Istanbul,"İstanbul, İstanbul, Turkey",Şişli,28,363,58,88,1,Real Bed,1,2,0,158,Apartment,0,0,0,0,0,0,0,Private room,0,3,https://a0.muscache.com/im/pictures/f88a4f1f-f1b2-4ea9-a1f9-91bc3bb6fab3.jpg?aki_policy=large
32433031,Amazing Duplex with Big Terrace *4BD,Spain,2.14369,41.37684,Hostafrancs,Barcelona,"Barcelona, Spain",Sants-Montjuïc,10,256,31,50,2,Real Bed,4,4,0,150,Apartment,0,0,0,0,0,0,0,Entire home/apt,300,10,https://a0.muscache.com/im/pictures/94be2b54-5e7e-4cde-b679-2c490f208016.jpg?aki_policy=large
32436791,走路3分钟过关香港罗湖口岸100米两房一厅楼下双地铁口,China,114.11738,22.5339,North,Hong Kong,"Shenzhen Shi, Guangdong Sheng, China",North,19,351,48,76,1,Real Bed,2,3,3,416,Apartment,10,10,10,10,10,100,10,Entire home/apt,0,4,https://a0.muscache.com/im/pictures/49a56c9e-db5e-4f1c-9ac2-a07ec2c1c792.jpg?aki_policy=large
32445856,Taksim Meydana 5 Dk. Mesafede 1+1 Daire,Turkey,28.98155,41.04062,Beyoglu,Istanbul,"Beyoğlu, İstanbul, Turkey",Taksim,30,365,60,90,1,Real Bed,1,2,0,221,Serviced apartment,0,0,0,0,0,0,0,Entire home/apt,0,4,https://a0.muscache.com/im/pictures/d0a68622-6a8a-4618-94aa-ad527f070560.jpg?aki_policy=large
32447033,Tai Hang Views - Prime HK 7’s location!!,Hong Kong,114.19269,22.27965,Wan Chai,Hong Kong,"Hong Kong Island, Hong Kong Island, Hong Kong",Wan Chai District,3,3,3,3,1,Real Bed,1,1,0,997,Apartment,0,0,0,0,0,0,0,Entire home/apt,0,2,https://a0.muscache.com/im/pictures/86d11750-bbeb-4423-a37a-927a29c04853.jpg?aki_policy=large
32454803,BED&BREAKFAST in the Attic / Room04,Spain,2.1833,41.42559,el Congrés i els Indians,Barcelona,"Barcelona, Catalunya, Spain",El Congrés i els Indians,0,18,0,18,1,Real Bed,1,1,0,20,Apartment,0,0,0,0,0,0,0,Private room,0,1,https://a0.muscache.com/im/pictures/0e3cce2d-4b17-40a3-aa9e-e517e97af40a.jpg?aki_policy=large
32456345,BCN Duplex Mirò Monthly,Spain,2.14329,41.3712,Hostafrancs,Barcelona,"Barcelona, Barcelona, Spain",Sants-Montjuïc,23,358,53,83,3,Real Bed,3,7,0,89,Apartment,0,0,0,0,0,0,0,Entire home/apt,300,8,https://a0.muscache.com/im/pictures/55131949-8545-4989-8c93-ba7bd857bd68.jpg?aki_policy=large
32459348,Quality in the town of the city,Spain,2.16177,41.39261,la Dreta de l'Eixample,Barcelona,"Barcelona, Catalunya, Spain",Eixample,27,362,57,87,2,Real Bed,2,2,1,400,Apartment,10,10,10,10,10,100,10,Entire home/apt,0,4,https://a0.muscache.com/im/pictures/9244b9bb-86c8-4688-ba93-8b10ed516025.jpg?aki_policy=large
32462982,city center apartament in luxury neigborhood,Spain,2.16326,41.39322,la Dreta de l'Eixample,Barcelona,"Barcelona, CT, Spain",Dreta de l'Eixample,30,270,60,90,1,Real Bed,1,2,0,37,Apartment,0,0,0,0,0,0,0,Entire home/apt,0,2,https://a0.muscache.com/im/pictures/a82e4c8f-6e00-46b7-bfef-d77717cffe13.jpg?aki_policy=large
